Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;settore_storico_pe;superficie_somministrazione;tipo_eser_storico_pe
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 29 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;29;2664;3;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÈ;Tavola fredda;Bar gastronomici e simili;Tav.calde,self service,fast f.";79;bar caffè
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 15 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;15;2664;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ;Cibi cotti preconfezionati;Giochi Legge 388/2000";49;bar caffè
"VIA FOLLI EGIDIO N. 41 ; isolato:101; accesso: accesso esterno; (z.d. 3)";VIA ;FOLLI EGIDIO;41;2676;3;solo somministrazione;somministrazione;misto;"Trattoria;Ristorante, trattoria, osteria;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Pizzeria";134;trattoria
"VIA MUZIO SCEVOLA N. 11 ; isolato:113; accesso: accesso esterno; (z.d. 3)";VIA ;MUZIO SCEVOLA;11;2663;3;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;BAR CAFFÈ E SIMILI;Ristorante;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";116;ristorante
"VIA CONTE ROSSO N. 1 ; isolato:116; accesso: accesso esterno; (z.d. 3)";VIA ;CONTE ROSSO;1;2667;3;solo somministrazione;somministrazione;misto;"Biliardo;BAR CAFFÈ;Ristorante, trattoria, osteria;Carte;Bocce;BAR CAFFÈ E SIMILI;Trattoria";79;trattoria
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 16 ; isolato:114; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;16;2664;3;solo somministrazione;somministrazione;misto;"Pizzeria;BAR CAFFÈ;Trattoria";51;pizzeria
"VIA CONSOLE FLAMINIO N. 2 ; isolato:129; accesso: accesso esterno; (z.d. 3)";VIA ;CONSOLE FLAMINIO;2;2666;3;somministrazione/minuto;somministrazione;misto;"BAR CAFFÈ E SIMILI;Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";56;bar caffè
"VIA SACCARDO PIETRO ANDREA N. 37 ; isolato:117; accesso: accesso esterno; (z.d. 3)";VIA ;SACCARDO PIETRO ANDREA;37;2665;3;solo somministrazione;somministrazione;misto;"Tav.calde,self service,fast f.;Trattoria;Ristorante, trattoria, osteria;Giochi Legge 388/2000;BAR CAFFÈ E SIMILI;BAR CAFFÈ";127;trattoria
"VIA PITTERI RICCARDO N. 111 ; isolato:130; accesso: accesso esterno; (z.d. 3)";VIA ;PITTERI RICCARDO;111;2674;3;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;Trattoria;BAR CAFFÈ;Ristorante, trattoria, osteria;Giochi Legge 388/2000";147;trattoria
"VIA BERTOLAZZI CARLO N. 26 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VIA ;BERTOLAZZI CARLO;26;2662;3;solo somministrazione;somministrazione;misto;"Disco-piano-americ.bar serali;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Ristorante;Pizzeria;Ristorante, trattoria, osteria";180;trattoria
"VIA CONTE ROSSO N. 28 ; isolato:117; accesso: accesso esterno; (z.d. 3)";VIA ;CONTE ROSSO;28;2667;3;solo somministrazione;somministrazione;misto;"Trattoria;Pizzeria;BAR CAFFÈ;Ristorante, trattoria, osteria;Pizzerie e simili";134;trattoria
"VLE LEGIONI ROMANE N. 59 ; isolato:024; accesso: accesso esterno; (z.d. 6)";VLE ;LEGIONI ROMANE;59;6649;6;solo somministrazione;somministrazione;misto;"Trattoria;Pizzeria";64;pizzeria
"VIA INGANNI ANGELO N. 70 ; isolato:055; accesso: accesso esterno; (z.d. 6)";VIA ;INGANNI ANGELO;70;6672;6;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;Bar gastronomici e simili;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";65;bar caffè
"VIA INGANNI ANGELO N. 48 ; isolato:058; accesso: accesso esterno; (z.d. 6)";VIA ;INGANNI ANGELO;48;6672;6;;somministrazione;al banco;"Giochi Legge 388/2000;Tavola fredda;BAR CAFFÈ";72;bar caffè
"VIA DEI GIGLI N. 14 ; isolato:101; accesso: accesso esterno; (z.d. 6)";VIA ;DEI GIGLI;14;6678;6;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÈ;Ristorante, trattoria, osteria;Pizzerie e simili;Ristorante;Genere Merceol.Autorizz.Sanit.";100;ristorante
"VLE SAN GIMIGNANO N. 13 ; isolato:037; accesso: accesso esterno; (z.d. 6)";VLE ;SAN GIMIGNANO;13;6613;6;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ E SIMILI";41;bar caffè
"VLE SAN GIMIGNANO N. 37 ; isolato:026; accesso: accesso esterno; (z.d. 6)";VLE ;SAN GIMIGNANO;37;6613;6;;somministrazione;al banco;"Carte;Cibi cotti preconfezionati;Tavola fredda;Biliardo;BAR CAFFÈ;Bocce";40;bar caffè
"VIA SCROSATI LUIGI N. 9 ; isolato:074; accesso: accesso esterno; (z.d. 6)";VIA ;SCROSATI LUIGI;9;6488;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.";61;bar caffè
"VIA SODERINI LUIGI N. 55 ; isolato:071; accesso: accesso esterno; (z.d. 6)";VIA ;SODERINI LUIGI;55;6675;6;solo somministrazione;somministrazione;al banco;;58;bar caffè
"VIA SODERINI LUIGI N. 55 ; isolato:071; accesso: accesso esterno; (z.d. 6)";VIA ;SODERINI LUIGI;55;6675;6;solo somministrazione;somministrazione;al banco;"Tavola fredda;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";65;bar caffè
"VIA ARZAGA N. 24 ; isolato:068; accesso: accesso esterno; (z.d. 6)";VIA ;ARZAGA;24;6674;6;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda";61;bar caffè
"VLE SAN GIMIGNANO num.008/a ; isolato:072; accesso: accesso esterno; (z.d. 6)";;;;;;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";30;bar caffè
"VIA MONTECUCCOLI RAIMONDO num.006/8 /8; isolato:036; accesso: accesso esterno; (z.d. 6)";;;;;;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Ristorante, trattoria, osteria;BAR CAFFÈ";72;ristorante
"VIA MONTECUCCOLI RAIMONDO N. 14 ; isolato:036; accesso: accesso esterno; (z.d. 6)";VIA ;MONTECUCCOLI RAIMONDO;14;6650;6;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;Tavola calda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";90;bar caffè
"VLE LEGIONI ROMANE N. 37 ; isolato:025; accesso: accesso esterno; (z.d. 6)";VLE ;LEGIONI ROMANE;37;6649;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;BAR CAFFÈ E SIMILI;Tavola calda;Tav.calde,self service,fast f.;Pizzeria;BAR CAFFÈ";54;pizzeria
"VIA PRIMATICCIO FRANCESCO N. 154 ; isolato:036; accesso: accesso esterno; (z.d. 6)";VIA ;PRIMATICCIO FRANCESCO;154;6646;6;solo somministrazione;somministrazione;misto;"Tavola calda;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ E SIMILI;Tav.calde,self service,fast f.;BAR CAFFÈ";75;tavola calda
