Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"PZA CAVOUR N. 3 s.op. buccinasco;pza cavour 003; isolato:093; (z.d. 1)";PZA ;CAVOUR;3;237;1;sede operativa buccinasco;alimentare;;0;0
"VIA DUDOVICH MARCELLO N. 10 7.4.08 tras.sett.agricoltura; isolato:066; (z.d. 5)";VIA ;DUDOVICH MARCELLO;10;5437;5;;;;0;0
"VIA MEDICI DEL VASCELLO GIACOMO num.002; ()";VIA ;MEDICI DEL VASCELLO GIACOMO;;3377;4;;non alimentare;;0;0
"VIA FABRIANO N. 2 7.4.08 tras.sett. agricoltura; isolato:161; (z.d. 9)";VIA ;FABRIANO;2;1642;9;;;;0;0
"VLE PREMUDA N. 16 ; isolato:014; (z.d. 4)";VLE ;PREMUDA;16;3063;4;;non alimentare;;0;0
"VIA MURAT GIOACCHINO N. 60 7.4.08 tras.set.agricoltura; isolato:020; (z.d. 9)";VIA ;MURAT GIOACCHINO;60;1316;9;;;;0;0
"VIA DON RODRIGO N. 2 altri sistemi di comunicazionr; isolato:085; (z.d. 5)";VIA ;DON RODRIGO;2;5416;5;;non alimentare;;0;0
"VIA SPARTACO N. 10 ; isolato:069; (z.d. 4)";VIA ;SPARTACO;10;3186;4;;non alimentare;;0;0
"LGO DOMODOSSOLA N. 2 altri sistemi di comunicazione; isolato:079; (z.d. 8)";LGO ;DOMODOSSOLA;2;6140;8;;non alimentare;;0;0
"VIA ABBA GIUSEPPE CESARE N. 32 7.4.08 tras.set.agricoltura; isolato:058; (z.d. 9)";VIA ;ABBA GIUSEPPE CESARE;32;1295;9;;;;0;0
"VIA CIVITALI MATTEO N. 21 ; isolato:280; (z.d. 7)";VIA ;CIVITALI MATTEO;21;6569;7;;;;0;0
"VIA ARMELLINI CARLO num.010; ()";;;;;;;non alimentare;;0;0
"VIA ANGUISSOLA SOFONISBA N. 21 ; isolato:016; (z.d. 7)";VIA ;ANGUISSOLA SOFONISBA;21;6609;7;;non alimentare;;0;0
"VIA SPADOLINI GIOVANNI num.012; ()";VIA ;SPADOLINI GIOVANNI;;4325;5;onama spa.;"alimentare;non alimentare";;0;0
"VIA DELLA CHIESA ROSSA N. 25 7.4.08 tras.sett.agricoltura; isolato:032; (z.d. 5)";VIA ;DELLA CHIESA ROSSA;25;5321;5;;;;0;0
"VIA SAND GEORGE N. 9 altri sistemi; isolato:090; (z.d. 9)";VIA ;SAND GEORGE;9;1554;9;;non alimentare;;0;0
"VIA LEONE XIII N. 14 altri sistemi di com.; isolato:154; (z.d. 8)";VIA ;LEONE XIII;14;6353;8;;non alimentare;;0;0
"PZA VELASCA N. 5 altri sistemi di comunic.;pza velasca 005; isolato:356; (z.d. 1)";PZA ;VELASCA;5;335;1;;non alimentare;;0;0
"VIA BALILLA N. 10 c\o ipr srl; isolato:114; (z.d. 5)";VIA ;BALILLA;10;5207;5;;non alimentare;;0;0
"VIA CASANOVA LUIGI N. 2 7.4.08 trasm.sett.agricoltura; isolato:245; (z.d. 2)";VIA ;CASANOVA LUIGI;2;1197;2;;;;0;0
"VIA ANGERA N. 9 altri sistemi di comunicazione; isolato:125; (z.d. 2)";VIA ;ANGERA;9;1395;2;;non alimentare;;0;0
"VIA TANTARDINI ANTONIO N. 8 ; isolato:130; (z.d. 5)";VIA ;TANTARDINI ANTONIO;8;5224;5;;alimentare;;0;0
"VIA PANNUNZIO FRA' MARIO N. 8 ; isolato:251; accesso: accesso interno; (z.d. 8)";VIA ;PANNUNZIO FRA' MARIO;8;7312;8;tecno car service;non alimentare;;0;0
"VIA LOMAZZO PAOLO N. 10 23.5.08 tras. sett.agricoltura; isolato:072; (z.d. 8)";VIA ;LOMAZZO PAOLO;10;7079;8;;;;0;0
"VIA CANONICA LUIGI N. 81 7.4.08 tras.set.agricoltura; isolato:104; (z.d. 8)";VIA ;CANONICA LUIGI;81;7121;8;;;;0;0
"VIA OXILIA NINO N. 9 produttore agricolo; isolato:329; (z.d. 2)";VIA ;OXILIA NINO;9;2287;2;produttore agricolo;;;0;0
VIA MELZI D'ERIL FRANCESCO N. 3 (z.d. 1);VIA ;MELZI D'ERIL FRANCESCO;3;7118;1;;;;0;0
VIA GIAMBELLINO N. 155 (z.d. 6);VIA ;GIAMBELLINO;155;5136;6;;;;0;0
"VIA CONCA DEL NAVIGLIO N. 18 ; isolato:129; (z.d. 1)";VIA ;CONCA DEL NAVIGLIO;18;5180;1;;non alimentare;;0;0
"VIA GIOTTO N. 9 ; isolato:199; (z.d. 7)";VIA ;GIOTTO;9;6248;7;;alimentare;;0;0
"VIA ROCCA D'ANFO N. 4 7.4.08 trasm.sett.agricoltura; isolato:091; (z.d. 9)";VIA ;ROCCA D'ANFO;4;1556;9;;;;0;0
VIA PADOVA N. 94 (z.d. 2);VIA ;PADOVA;94;2275;2;;;;0;0
VIA TIEPOLO GIAN BATTISTA N. 60 (z.d. 3);VIA ;TIEPOLO GIAN BATTISTA;60;3126;3;;;;0;0
VIA DEGLI SCIPIONI N. 7 (z.d. 3);VIA ;DEGLI SCIPIONI;7;2174;3;;;;0;0
VIA MAC MAHON N. 77 (z.d. 8);VIA ;MAC MAHON;77;7221;8;;;;0;0
VLE ABRUZZI N. 19 (z.d. 3);VLE ;ABRUZZI;19;2177;3;;;;0;0
VIA ZANTE N. 30 (z.d. 4);VIA ;ZANTE;30;3364;4;;;;0;0
VIA AUSONIO N. 23 (z.d. 1);VIA ;AUSONIO;23;5093;1;;;;0;0
VIA INGANNI ANGELO N. 29 (z.d. 6);VIA ;INGANNI ANGELO;29;6672;6;;;;0;0
VLE ARETUSA N. 34 (z.d. 7);VLE ;ARETUSA;34;6565;7;;;;0;0
VIA MOSSOTTI OTTAVIANO FABRIZIO N. 1 (z.d. 9);VIA ;MOSSOTTI OTTAVIANO FABRIZIO;1;1402;9;;non alimentare;;0;0
"VIA CIMABUE GIOVANNI N. 4 ; isolato:096; (z.d. 8)";VIA ;CIMABUE GIOVANNI;4;6466;8;;non alimentare;;0;0
VIA TRIBONIANO N. 210 (z.d. 8);VIA ;TRIBONIANO;210;7444;8;;non alimentare;;0;0
VIA RIPAMONTI GIUSEPPE N. 204 (z.d. 5);VIA ;RIPAMONTI GIUSEPPE;204;4066;5;;;;0;0
"VIA ALBERTINELLI MARIOTTO N. 5 ; isolato:247; (z.d. 7)";VIA ;ALBERTINELLI MARIOTTO;5;6561;7;;non alimentare;;0;0
"VLE MONTE NERO N. 35 ; isolato:133; (z.d. 1)";VLE ;MONTE NERO;35;3062;1;;non alimentare;;0;0
CSO ITALIA N. 34 (z.d. 1);CSO ;ITALIA;34;526;1;;;;0;0
"VIA CENISIO N. 77 ; isolato:023; (z.d. 8)";VIA ;CENISIO;77;7184;8;;non alimentare;;0;0
"VIA MASACCIO N. 18 ; isolato:207; (z.d. 8)";VIA ;MASACCIO;18;6420;8;;non alimentare;;0;0
CSO LODI N. 26 (z.d. 5);CSO ;LODI;26;4068;5;;;;0;0
"VIA CAPECELATRO ALFONSO N. 41 www.worthyweb.com; isolato:269; (z.d. 7)";VIA ;CAPECELATRO ALFONSO;41;6575;7;www.worthyweb.com;non alimentare;;0;0
"VIA CARDUCCI GIOSUE' N. 26 altri sistemi di comunicazione;via carducci giosue' 026; isolato:283; (z.d. 1)";VIA ;CARDUCCI GIOSUE';26;602;1;;non alimentare;;0;0
"CSO MAGENTA N. 43 altri sistemi di comunicazione;cso magenta 043; isolato:287; (z.d. 1)";CSO ;MAGENTA;43;604;1;;non alimentare;;0;0
"VIA MARRADI GIOVANNI N. 1 altri sistemi di comunicazione; isolato:285; (z.d. 1)";VIA ;MARRADI GIOVANNI;1;6153;1;;non alimentare;;0;0
CSO DI PORTA NUOVA N. 46 (z.d. 1);CSO ;DI PORTA NUOVA;46;1044;1;;non alimentare;;0;0
"VIA VIVAIO N. 17 altri sistemi comunicazione; (z.d. 1)";VIA ;VIVAIO;17;3041;1;;non alimentare;;0;0
"VIA LODOVICO IL MORO N. 169 altri sistemi di comunicazione; (z.d. 6)";VIA ;LODOVICO IL MORO;169;5290;6;;non alimentare;;0;0
VIA ARIOSTO LODOVICO N. 32 (z.d. 1);VIA ;ARIOSTO LODOVICO;32;6184;1;;non alimentare;;0;0
"VIA DELL' ASSUNTA N. 8 www.rivoltagroup.com; (z.d. 5)";VIA ;DELL' ASSUNTA;8;4274;5;;non alimentare;;0;0
"VIA TRIBONIANO altri sistemi di comunicazione num.212; (z.d. 8)";VIA ;TRIBONIANO;;7444;8;;non alimentare;;0;0
"CSO DI PORTA ROMANA N. 40 www.arteartista.com;cso di porta romana 040; isolato:473; (z.d. 1)";CSO ;DI PORTA ROMANA;40;402;1;www.arteartista.com;non alimentare;;0;0
"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 2 corrispondenza; isolato:007; (z.d. 3)";VIA ;PIERLUIGI GIOVANNI DA PALESTRINA;2;2235;3;;non alimentare;;0;0
"VIA STEPHENSON GIORGIO N. 93 altri sistemi di comunicazione; (z.d. 8)";VIA ;STEPHENSON GIORGIO;93;7456;8;;non alimentare;;0;0
"VIA ANELLI LUIGI N. 2 ; isolato:120; (z.d. 1)";VIA ;ANELLI LUIGI;2;4023;1;;;;0;0
"VIA ALBANI FRANCESCO N. 21 altri sistemi di comunicazione; isolato:208; (z.d. 8)";VIA ;ALBANI FRANCESCO;21;6399;8;;non alimentare;;0;0
"VIA BOTTA CARLO N. 7 www.ebay.it; isolato:163; (z.d. 4)";VIA ;BOTTA CARLO;7;4069;4;;non alimentare;;0;0
"VIA GADAMES N. 123 www.shop.leditore.it; isolato:180; (z.d. 8)";VIA ;GADAMES;123;7423;8;www.shop.leditore.it;non alimentare;;0;0
"VIA PALMANOVA N. 59 www.avimex.it; isolato:302; (z.d. 2)";VIA ;PALMANOVA;59;2390;2;www.avimex.it;non alimentare;;0;0
"PZA BUONARROTI MICHELANGELO N. 32 www.sportandrelax.com; isolato:164; (z.d. 8)";PZA ;BUONARROTI MICHELANGELO;32;6252;8;www.sportandrelax.com;non alimentare;;0;0
"VIA TRIBONIANO num.212; (z.d. 8)";VIA ;TRIBONIANO;;7444;8;;non alimentare;;0;0
"VIA GIOBERTI VINCENZO N. 1 www.preziosicollection.com; isolato:229; (z.d. 1)";VIA ;GIOBERTI VINCENZO;1;6165;1;www.preziosicpllection.co;non alimentare;;0;0
"VIA ROSALES GASPARE N. 5 ; isolato:322; (z.d. 9)";VIA ;ROSALES GASPARE;5;1110;9;;non alimentare;;0;0
"VIA PARINI GIUSEPPE N. 9 www.gruppodigit.it; isolato:088; (z.d. 1)";VIA ;PARINI GIUSEPPE;9;1049;1;www.gruppodigit.it;non alimentare;;0;0
"VIA MOROSINI EMILIO N. 19 www.solci1938.com; isolato:057; (z.d. 4)";VIA ;MOROSINI EMILIO;19;3073;4;;alimentare;;0;0
"VIA TURATI FILIPPO N. 26 www.istuff.it; isolato:015; (z.d. 1)";VIA ;TURATI FILIPPO;26;1053;1;;non alimentare;;0;0
"VIA BELLINCIONE BERNARDINO N. 10 ; isolato:094; (z.d. 3)";VIA ;BELLINCIONE BERNARDINO;10;2649;3;;non alimentare;;0;0
"VIA ALBERTO DA GIUSSANO N. 17 ; isolato:185; (z.d. 8)";VIA ;ALBERTO DA GIUSSANO;17;6188;8;;non alimentare;;0;0
"VIA MARGHERA N. 43 www.corso-vercelli.it; isolato:213; (z.d. 7)";VIA ;MARGHERA;43;6280;7;www.corso-vercelli.it;non alimentare;;0;0
"VIA LANFRANCO DELLA PILA www.gurulatino.com num.057/a; isolato:021; (z.d. 9)";;;;;;www.gurulatino.com;non alimentare;;0;0
"VIA LANFRANCO DELLA PILA www.mediaplace.it num.057/a; isolato:021; (z.d. 9)";;;;;;www. mediaplace.it;non alimentare;;0;0
"VIA LANFRANCO DELLA PILA www.thecoreware.com num.057/a; isolato:021; (z.d. 9)";;;;;;;non alimentare;;0;0
"VIA VALPARAISO N. 4 www.subacme.it; isolato:010; (z.d. 6)";VIA ;VALPARAISO;4;6093;6;www.subacme.it;non alimentare;;0;0
"VIA DE CRISTOFORIS CARLO N. 2 www.angelito.biz; isolato:322; (z.d. 9)";VIA ;DE CRISTOFORIS CARLO;2;1120;9;www.angelito.biz;non alimentare;;0;0
"VIA MOLINO DELLE ARMI N. 3 ;via molino delle armi 003; isolato:210; (z.d. 1)";VIA ;MOLINO DELLE ARMI;3;591;1;;non alimentare;;0;0
"VLE ZARA N. 119 ; isolato:082; (z.d. 9)";VLE ;ZARA;119;1170;9;;non alimentare;;0;0
"VIA STAMPA N. 8 ;via stampa 008; isolato:398; (z.d. 1)";VIA ;STAMPA;8;538;1;;non alimentare;;0;0
"VIA PAGLIANO ELEUTERIO N. 37 www.secondpress.ev; isolato:259; (z.d. 7)";VIA ;PAGLIANO ELEUTERIO;37;6390;7;www.secondpress.ev;non alimentare;;0;0
"VIA SAN COLOMBANO N. 9 www.graficacquaviva.it; isolato:034; (z.d. 6)";VIA ;SAN COLOMBANO;9;5366;6;www.graficacquaviva.it;non alimentare;;0;0
VIA F.LLI CAMPI N. 2 (z.d. 1);VIA ;F.LLI CAMPI;2;3060;1;;non alimentare;;0;0
"VIA BALDINUCCI FILIPPO www.ecoworldhotel.com num.003/e; isolato:046; (z.d. 9)";VIA ;BALDINUCCI FILIPPO;;1267;9;www.ecoworldhotel.com;non alimentare;;0;0
"VIA BUSCHI AVERARDO N. 25 ; isolato:083; (z.d. 6)";VIA ;BUSCHI AVERARDO;25;2575;3;;non alimentare;;0;0
"VIA BORGONUOVO N. 18 isolato:253; (z.d. 1)";VIA ;BORGONUOVO;18;139;1;;non alimentare;;0;0
"PZA MONTE FALTERONA N. 2 ; isolato:252; (z.d. 7)";PZA ;MONTE FALTERONA;2;6558;7;;alimentare;;0;0
"VIA CERNUSCHI ENRICO N. 4 ; isolato:023; (z.d. 1)";VIA ;CERNUSCHI ENRICO;4;3051;1;;non alimentare;;0;0
"PZA CASTELLO N. 19 altri sistemi di comunicazione;pza castello 019; isolato:238; (z.d. 1)";PZA ;CASTELLO;19;704;1;;non alimentare;;0;0
"VIA GONIN FRANCESCO N. 11 altri sistemi di comunicazione; isolato:156; (z.d. 6)";VIA ;GONIN FRANCESCO;11;5376;6;;non alimentare;;0;0
"VIA BENEVENTO N. 3 altri sistemi di comunicazione; isolato:062; (z.d. 6)";VIA ;BENEVENTO;3;5221;6;;non alimentare;;0;0
"VIA FINOCCHIARO APRILE N. 14 altri sistemi di comunicazione; isolato:118; (z.d. 2)";VIA ;FINOCCHIARO APRILE;14;2120;2;;non alimentare;;0;0
"VIA RICCIARELLI DANIELE N. 22 ; isolato:285; (z.d. 7)";VIA ;RICCIARELLI DANIELE;22;6553;7;;non alimentare;;0;0
"VIA TRIBONIANO N. 210 altri sistemi di comunicazione; (z.d. 8)";VIA ;TRIBONIANO;210;7444;8;;non alimentare;;0;0
"VIA TRIBONIANO altri sistemi di comunicazione num.212; (z.d. 8)";VIA ;TRIBONIANO;;7444;8;;non alimentare;;0;0
"VIA LARGA N. 7 www.toppersonalshopperitaly.co;via larga 007; isolato:325; (z.d. 1)";VIA ;LARGA;7;318;1;;non alimentare;;0;0
"VIA TURATI FILIPPO N. 29 altri sistemi comunicazione; isolato:089; (z.d. 1)";VIA ;TURATI FILIPPO;29;1053;1;;non alimentare;;0;0
"VIA MONTI VINCENZO N. 51 www.indovinando.it; (z.d. 1)";VIA ;MONTI VINCENZO;51;6155;1;;alimentare;;0;0
"VIA GESSI ROMOLO N. 55 wwww.poken-it.com; (z.d. 6)";VIA ;GESSI ROMOLO;55;6121;6;;non alimentare;;0;0
"VIA MAGGI CARLO MARIA N. 2 convienesempre.it; (z.d. 1)";VIA ;MAGGI CARLO MARIA;2;7115;1;;non alimentare;;0;0
"PZA SANTA MARIA DELLE GRAZIE N. 1 comm. elettronico; (z.d. 1)";PZA ;SANTA MARIA DELLE GRAZIE;1;6164;1;;;;0;0
"VIA BOSCHETTI N. 6 www.7gr.it; (z.d. 1)";VIA ;BOSCHETTI;6;2104;1;;alimentare;;0;0
"VIA MONTI SABINI N. 13 www.cavalieridiventura.it; (z.d. 5)";VIA ;MONTI SABINI;13;4293;5;;non alimentare;;0;0
"VIA BASSINI EDOARDO N. 45 www.milanowebshop.it; (z.d. 3)";VIA ;BASSINI EDOARDO;45;2587;3;;non alimentare;;0;0
"VIA S. GIOV. SUL MURO N. 12 www.retrosuperfuture.com; (z.d. 1)";VIA ;S. GIOV. SUL MURO;12;609;1;;non alimentare;;0;0
"VIA LUPETTA N. 2 www.barellolens.com; (z.d. 1)";VIA ;LUPETTA;2;523;1;;non alimentare;;0;0
"VLE TEODORICO N. 2 ; isolato:335; accesso: accesso esterno; (z.d. 8)";VLE ;TEODORICO;2;7160;8;;non alimentare;10;321;1
"VIA WASHINGTON GIORGIO N. 76 ; isolato:286; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;76;6111;7;;non alimentare;;1;1
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 16 ; isolato:114; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;16;2664;3;;non alimentare;;1;1
"VIA VITRUVIO N. 7 ; isolato:059; accesso: accesso esterno; (z.d. 3)";VIA ;VITRUVIO;7;2134;3;fashion sun/solarium;non alimentare;;0;1
"VIA VALTELLINA N. 40 ; isolato:205; accesso: accesso esterno; (z.d. 9)";VIA ;VALTELLINA;40;1188;9;;non alimentare;;1;1
"VIA STENDHAL ENRICO N. 30 ; isolato:031; accesso: accesso esterno; (z.d. 6)";VIA ;STENDHAL ENRICO;30;5135;6;ristorante gibilterra srl;non alimentare;;69;1
"VIA PALEOCAPA PIETRO N. 1 ;via paleocapa pietro 001; isolato:164; accesso: accesso esterno; (z.d. 1)";VIA ;PALEOCAPA PIETRO;1;706;1;;alimentare;;119;1
"PLE UDINE N. 1 ; isolato:066; accesso: accesso esterno; (z.d. 3)";PLE ;UDINE;1;2651;3;;alimentare;27;28;1
"VIA TOTI ENRICO num.000; accesso: accesso esterno; (z.d. 1)";VIA ;TOTI ENRICO;;6179;1;;non alimentare;180;181;1
"VIA BOIFAVA PIETRO num.076/a; (z.d. 5)";VIA ;BOIFAVA PIETRO;;5341;5;;non alimentare;;1;1
"VIA PASTEUR LUIGI N. 6 ; isolato:349; (z.d. 2)";VIA ;PASTEUR LUIGI;6;2283;2;;non alimentare;;33;1
VIA F.LLI FRASCHINI N. 2 (z.d. 5);VIA ;F.LLI FRASCHINI;2;4355;5;;non alimentare;95;96;1
"VIA MECENATE N. 107 ; isolato:098; (z.d. 4)";VIA ;MECENATE;107;3323;4;;non alimentare;49;50;1
"VIA CAMERINO N. 2 ; isolato:147; (z.d. 9)";VIA ;CAMERINO;2;1534;9;;non alimentare;37;38;1
VIA NEGROLI N. 9 (z.d. 4);VIA ;NEGROLI;9;3279;4;;non alimentare;37;38;1
"LGO RODARI GIANNI N. 2 ; isolato:271; (z.d. 4)";LGO ;RODARI GIANNI;2;3305;4;;alimentare;67;68;1
"VIA LORENTEGGIO N. 163 ; isolato:138; (z.d. 6)";VIA ;LORENTEGGIO;163;5132;6;;alimentare;;49;1
"VIA ZEBEDIA N. 9 ;via zebedia 009; isolato:426; (z.d. 1)";VIA ;ZEBEDIA;9;524;1;;non alimentare;;1;1
"VIA POERIO CARLO N. 43 ; isolato:155; (z.d. 3)";VIA ;POERIO CARLO;43;3181;3;;alimentare;;43;1
"VIA MACCHI MAURO N. 26 ; isolato:040; (z.d. 2)";VIA ;MACCHI MAURO;26;2133;2;;alimentare;;85;1
"VIA PALMA JACOPO N. 26 ; isolato:008; (z.d. 7)";VIA ;PALMA JACOPO;26;6605;7;;non alimentare;;25;1
"VIA INGANNI ANGELO N. 40 ; isolato:058; (z.d. 6)";VIA ;INGANNI ANGELO;40;6672;6;;alimentare;52;53;1
VIA LEGNONE N. 19 (z.d. 9);VIA ;LEGNONE;19;1298;9;;non alimentare;;1;1
VIA ROCCA D'ANFO N. 4 (z.d. 9);VIA ;ROCCA D'ANFO;4;1556;9;;alimentare;;55;1
"VIA SARPI FRA' PAOLO N. 8 interno palestra zoth hourse; (z.d. 8)";VIA ;SARPI FRA' PAOLO;8;7210;8;;alimentare;;50;1
VLE CATERINA DA FORLI' N. 1 (z.d. 6);VLE ;CATERINA DA FORLI';1;6611;6;;alimentare;;30;1
VIA FRIULI N. 6 (z.d. 4);VIA ;FRIULI;6;3199;4;;alimentare;;72;1
VIA TAVAZZANO N. 6 (z.d. 8);VIA ;TAVAZZANO;6;7335;8;;alimentare;;45;1
VLE SUZZANI GIOVANNI N. 12 (z.d. 9);VLE ;SUZZANI GIOVANNI;12;1446;9;;alimentare;;18;1
VIA PELITTI GIUSEPPE N. 2 (z.d. 2);VIA ;PELITTI GIUSEPPE;2;2412;2;;alimentare;26;27;1
"VIA DELLE FORZE ARMATE num.212; (z.d. 7)";;;;;;;alimentare;;38;1
VLE MONZA N. 68 (z.d. 2);VLE ;MONZA;68;2274;2;;Alimentare;33;34;1
VLE BLIGNY N. 42 (z.d. 5);VLE ;BLIGNY;42;4045;5;;Non Alimentare;41;42;1
VIA CASTEL MORRONE N. 7 (z.d. 3);VIA ;CASTEL MORRONE;7;3185;3;;Alimentare;;;1
VIA MAC MAHON N. 75 (z.d. 8);VIA ;MAC MAHON;75;7221;8;;Non Alimentare;36;37;1
VIA DEI MISSAGLIA N. 97 (z.d. 5);VIA ;DEI MISSAGLIA;97;5340;5;;Non Alimentare;758;759;1
PTA GIORDANO UMBERTO N. 1 (z.d. 1);PTA ;GIORDANO UMBERTO;1;345;1;;Non Alimentare;1196;1197;1
