Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;fuori_piano;insegna;settore_storico_pe;superficie_somministrazione
"PZA FERRAVILLA EDOARDO N. 2 suore domenicane; isolato:184; accesso: accesso interno; (z.d. 3)";PZA ;FERRAVILLA EDOARDO;2;3125;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;29
"VIA VANVITELLI LUIGI N. 6 laboratori bouty; isolato:181; accesso: accesso interno; (z.d. 3)";VIA ;VANVITELLI LUIGI;6;3108;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Tavola fredda;55
"PZA NOVELLI ERMETE N. 1 aeronautica mensa truppa; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;3000
"VIA GOLDONI CARLO num.070 scuola rossello; isolato:180; accesso: accesso interno; (z.d. 6)";VIA ;GOLDONI CARLO;;3183;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;160
"PZA NOVELLI ERMETE N. 1 aeronautica spaccio truppa; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.g;;BAR CAFFÈ;300
"PZA NOVELLI ERMETE N. 1 aeronautica circ. sottufficial; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;BAR CAFFÈ;200
"PZA NOVELLI ERMETE N. 1 aeronautica circ. ufficiali; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.g;;BAR CAFFÈ;250
"VIA SAN VITTORE N. 12 c/o bar ospedale s. giuseppe;via san vittore 012; isolato:284; accesso: accesso interno; (z.d. 1)";VIA ;SAN VITTORE;12;647;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";85
"codvia 9110 mm1 palest; isolato:999; accesso: accesso interno; (z.d. 1)";;;;;;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.c;;"Cibi cotti preconfezionati;Giochi Legge 388/2000;BAR CAFFÈ;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI";90
"VIA TORRIANI NAPO N. 29 ; isolato:052; accesso: accesso interno; (z.d. 2)";VIA ;TORRIANI NAPO;29;2126;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;40
"VIA TESIO FEDERICO N. 15 circol0 a.n.c.r.; isolato:118; accesso: accesso esterno; (z.d. 7)";VIA ;TESIO FEDERICO;15;6471;7;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Bocce;BAR CAFFÈ;Carte;Biliardo;Cibi cotti preconfezionati";96
"VIA DE ANDREIS LUIGI N. 13 ; isolato:271; accesso: accesso esterno; (z.d. 4)";VIA ;DE ANDREIS LUIGI;13;3272;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni;Licenza giochi leciti/elettr..";200
"codvia 9206 mm2 piola; isolato:999; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar caffe;"BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;Bar gastronomici e simili";46
"codvia 9205 mm2 lambra; isolato:998; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar tabacchi;"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;BAR CAFFÈ";83
"VIA CAROLI LUIGI N. 12 c/o circolo giovanile; isolato:166; accesso: accesso esterno; (z.d. 2)";VIA ;CAROLI LUIGI;12;2597;2;somministrazione/minuto;somministrazione;al banco;club privato;;BAR CAFFÈ;120
"VIA MARATTA CARLO N. 3 c/o circolo arcinova metromond; isolato:249; accesso: accesso esterno; (z.d. 7)";VIA ;MARATTA CARLO;3;6559;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Biliardo;BAR CAFFÈ";90
"codvia 9124 mm1 q.t.8; isolato:999; accesso: accesso interno; (z.d. 8)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar;"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÈ";45
"VIA MUGGIANO num.018/10 /10 tang.ovest lato ovest agip; isolato:232; accesso: accesso esterno; (z.d. 7)";;;;;;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.c;alemagna;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÈ";74
"VIA MUGGIANO num.018/11 /11 tang. ovest lato est agip; isolato:233; accesso: accesso esterno; (z.d. 7)";;;;;;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.c;alemagna;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ;Bar gastronomici e simili";74
"codvia 9120 mm1 lotto; isolato:998; accesso: accesso interno; (z.d. 8)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;;"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÈ;BAR CAFFÈ E SIMILI";40
"codvia 9201 mm2 cascin; isolato:999; accesso: accesso interno; (z.d. 2)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;;"BAR CAFFÈ E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";25
"VIA PARUTA PAOLO N. 32 c/o circolo arci e.curiel; isolato:208; accesso: accesso interno; (z.d. 2)";VIA ;PARUTA PAOLO;32;2363;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Bar gastronomici e simili;BAR CAFFÈ;BAR CAFFÈ E SIMILI";60
"VIA SILLA LUCIO CORNELIO N. 253 c/o a.m.s.a.; isolato:023; accesso: accesso interno; (z.d. 7)";VIA ;SILLA LUCIO CORNELIO;253;6732;7;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;amsa spa;"Tav.calde,self service,fast f.;Mensa";759
"VIA SPALLANZANI LAZZARO N. 10 ; isolato:143; accesso: accesso esterno; (z.d. 3)";VIA ;SPALLANZANI LAZZARO;10;2153;3;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;;"Cibi cotti preconfezionati;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";350
"codvia 9109 mm1 pta ve; isolato:998; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.c;caffe metro venezia;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Cibi cotti preconfezionati";154
"VIA MONFALCONE N. 7 congregazione suore orsoline; isolato:058; accesso: accesso interno; (z.d. 3)";VIA ;MONFALCONE;7;2538;3;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;;Tavola fredda;50
"VIA SAN RAFFAELE N. 1 ;via san raffaele 001; isolato:416; accesso: accesso esterno; (z.d. 1)";VIA ;SAN RAFFAELE;1;207;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;80
"codvia 9112 mm1 duomo; isolato:997; accesso: accesso interno; (z.d. 1)";;;;;;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.c;bar caffe;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ;BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati";126
"VIA TAJANI FILIPPO N. 11 ; isolato:165; accesso: accesso esterno; (z.d. 3)";VIA ;TAJANI FILIPPO;11;3235;3;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"Sale da ballo, locali notturni;Cibi cotti preconfezionati;BAR CAFFÈ";140
"VIA SISMONDI GIANCARLO N. 8 c/o tennis club lombardo; isolato:243; accesso: accesso interno; (z.d. 4)";VIA ;SISMONDI GIANCARLO;8;3256;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Ristorante";129
"VIA ROVETTA GEROLAMO N. 14 c/o circolo arci martiri turro; isolato:272; accesso: accesso interno; (z.d. 2)";VIA ;ROVETTA GEROLAMO;14;2333;2;solo somministrazione;somministrazione;al banco;club privato;;"Carte;Biliardo;Tavola fredda;Cibi cotti;BAR CAFFÈ";83
"VIA TOFANE N. 19 c/o circolo arci martesana; isolato:175; accesso: accesso esterno; (z.d. 2)";VIA ;TOFANE;19;1414;2;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.e;;"Bocce;Tavola calda;Carte;BAR CAFFÈ;Biliardo";195
"PZA ANELLI GIACOMO N. 4 c/o circolo acli turro; isolato:270; accesso: accesso esterno; (z.d. 2)";PZA ;ANELLI GIACOMO;4;2326;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"BAR CAFFÈ;Tavola fredda";183
"PZA SANT' AMBROGIO N. 5 bar spaccio polizia di stato;pza sant' ambrogio 005; isolato:339; accesso: accesso interno; (z.d. 1)";PZA ;SANT' AMBROGIO;5;643;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;BAR CAFFÈ;200
"VIA CASATI FELICE N. 45 ; isolato:094; accesso: accesso esterno; (z.d. 2)";VIA ;CASATI FELICE;45;2122;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"Ristorante;BAR CAFFÈ";89
"codvia 9123 mm1 gambar; isolato:999; accesso: accesso interno; (z.d. 7)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar caffe;"Cibi cotti preconfezionati;BAR CAFFÈ;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Tavola fredda";120
"VIA RUCELLAI BERNARDO N. 12 spaccio coop. popolare consumo; isolato:069; accesso: accesso esterno; (z.d. 2)";VIA ;RUCELLAI BERNARDO;12;2345;2;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.e;;"BAR CAFFÈ;Trattoria";300
"codvia 9108 mm1 lima; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;pasticceria bar lima;"BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ";104
"codvia 9118 mm1 buonar; isolato:998; accesso: accesso interno; (z.d. 7)";;;;;;somministrazione/minuto;somministrazione;misto;art.3 comma 6 lett.c;bar buonarroti;"BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;Giochi Legge 388/2000;Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda";40
"codvia 9122 mm1 de ang; isolato:995; accesso: accesso interno; (z.d. 7)";;;;;;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.c;bar caffe;"Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";98
"codvia 9119 mm1 amendo; accesso: area ap.rec.; (z.d. 7)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar picchio cocktail pan.;"BAR CAFFÈ;Cibi cotti preconfezionati;Tavola fredda";53
"codvia 9121 mm1 wagner; isolato:996; accesso: accesso interno; (z.d. 7)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;si bar caffe;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFFÈ";133
"codvia 9117 mm1 pagano; isolato:999; accesso: accesso interno; (z.d. 1)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;;"Wine,birr.,pub enot.,caff.,the;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";55
"VIA BELLEZZA GIOVANNI N. 16 c/o circolo arci bellezza; isolato:120; accesso: accesso interno; (z.d. 5)";VIA ;BELLEZZA GIOVANNI;16;4067;5;solo somministrazione;somministrazione;al banco;club privato;;"Prodotti di gastronomia;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.";80
"VIA FATEBENEFRATELLI N. 21 mensa dipendenti hotel cavour;via fatebenefratelli 021; isolato:093; accesso: accesso interno; (z.d. 1)";VIA ;FATEBENEFRATELLI;21;144;1;somministrazione/minuto;somministrazione;al tavolo;art.3 comma 6 lett.e;;Mensa;36
"CSO VENEZIA N. 43 c/o automobile club milano;cso venezia 043; isolato:095; accesso: accesso interno; (z.d. 1)";CSO ;VENEZIA;43;238;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;immobil.automobile club m;"Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";78
"PZA OSPEDALE MAGGIORE N. 3 c/o azienda ospedaliera ospeda; isolato:105; accesso: accesso esterno; (z.d. 9)";PZA ;OSPEDALE MAGGIORE;3;1523;9;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.g;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Prodotti di gastronomia;Tavola fredda";87
"VIA GIOIA MELCHIORRE N. 22 (c/o circolo dipendenti inps); isolato:297; accesso: accesso interno; (z.d. 9)";VIA ;GIOIA MELCHIORRE;22;1108;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili";107
"VIA RENZO E LUCIA num.004 (int. sala giochi bowling); isolato:080; accesso: accesso esterno; (z.d. 5)";VIA ;RENZO E LUCIA;;5412;5;;somministrazione;misto;art.3 comma 6 lett.d;bowling da willy;"Sale da gioco;Stab.baln. e impianti sportivi;Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante;BAR CAFFÈ";280
"VIA SAN PAOLINO N. 20 circolo acli san giovanni; isolato:101; accesso: accesso esterno; (z.d. 6)";VIA ;SAN PAOLINO;20;5425;6;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Carte;Bocce;Tavola fredda;Biliardo;BAR CAFFÈ";160
"VIA AMEDEI num.002/4 c/o bar circolo sport. inter; isolato:478; accesso: accesso interno; (z.d. 1)";VIA ;AMEDEI;;529;1;somministrazione/minuto;somministrazione;misto;art.3 comma 6 lett.e;;"Biliardo;Carte;BAR CAFFÈ";53
"VLE LIGURIA N. 21 c/o i.t.i. giorni; isolato:070; accesso: accesso interno; (z.d. 6)";VLE ;LIGURIA;21;5264;6;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;nuovo intervallo srl;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ";60
"PZA VELASCA N. 4 ;pza velasca 004; isolato:394; accesso: accesso esterno; (z.d. 1)";PZA ;VELASCA;4;335;1;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;beau geste;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Cibi cotti preconfezionati";150
"VIA MARCO D'AGRATE N. 23 int. sala giochi; isolato:114; accesso: accesso esterno; (z.d. 5)";VIA ;MARCO D'AGRATE;23;4276;5;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"Tavola fredda;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";65
"VIA BONFADINI ROMUALDO num.214 c/o bar centro cardiologico; isolato:123; accesso: accesso interno; (z.d. 4)";VIA ;BONFADINI ROMUALDO;;3341;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;"Tavola fredda;BAR CAFFÈ";45
"VIA BONFADINI ROMUALDO num.217 ; isolato:153; accesso: accesso esterno; (z.d. 4)";VIA ;BONFADINI ROMUALDO;;3341;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;;"BAR CAFFÈ;Cibi cotti preconfezionati";84
"VIA CAVRIANA N. 45 circolo junior tennis; isolato:007; accesso: accesso interno; (z.d. 4)";VIA ;CAVRIANA;45;3317;4;solo somministrazione;somministrazione;al banco;club privato;;BAR CAFFÈ;50
"VIA SAN BERNARDO num.017 c/o circolo arci pessina; isolato:200; accesso: accesso esterno; (z.d. 5)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Gioco video;Cibi cotti;Carte;BAR CAFFÈ;Biliardo";90
"PZA DIAZ ARMANDO N. 1 ;pza diaz armando 001; isolato:422; accesso: accesso esterno; (z.d. 1)";PZA ;DIAZ ARMANDO;1;339;1;somministrazione/minuto;somministrazione;misto;art.3 comma 6 lett.d;;"BAR CAFFÈ;Ristorante;Sale da ballo, locali notturni";126
"VIA GONZAGA MAURIZIO N. 5 ;via gonzaga maurizio 005; isolato:423; accesso: accesso esterno; (z.d. 1)";VIA ;GONZAGA MAURIZIO;5;344;1;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;pussy cat;"Disco-piano-americ.bar serali;Cibi cotti;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Discoteche,sale ballo notturni;Sale da ballo, locali notturni;Ristorante, trattoria, osteria";168
"VIA LARGA N. 14 ;via larga 014; isolato:392; accesso: accesso interno; (z.d. 1)";VIA ;LARGA;14;318;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;BAR CAFFÈ;50
"VIA LARGA N. 16 ;via baracchini flavio 011; isolato:392; accesso: accesso esterno; (z.d. 1)";VIA ;LARGA;16;318;1;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;full down night club;"Discoteche,sale ballo notturni;Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÈ;Sale da ballo, locali notturni";126
"VIA PAOLO DA CANNOBIO N. 5 c/o diving club del sole;via paolo da cannobio 005; isolato:392; accesso: accesso esterno; (z.d. 1)";VIA ;PAOLO DA CANNOBIO;5;338;1;solo somministrazione;somministrazione;misto;club privato;;"Carte;BAR CAFFÈ";85
PLE CADORNA LUIGI mm1 cadorna (z.d. 1);PLE ;CADORNA LUIGI;;601;1;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.c;;"Bar gastronomici e simili;BAR CAFFÈ;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";79
"codvia 9114 mm1 cairol; isolato:995; accesso: accesso interno; (z.d. 1)";;;;;;;somministrazione;al banco;art.3 comma 6 lett.c;bar cairoli;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";63
"codvia 9116 mm1 concil; isolato:993; accesso: accesso interno; (z.d. 1)";;;;;;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.c;;"Tavola fredda;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";32
"VIA BONFADINI ROMUALDO N. 111 c/o circolo endas sporting; isolato:110; accesso: accesso interno; (z.d. 4)";VIA ;BONFADINI ROMUALDO;111;3341;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Tavola fredda";143
"VIA MACCONAGO num.032 int. podere equitazione-pesca; isolato:206; accesso: area ap.rec.; (z.d. 5)";VIA ;MACCONAGO;;4298;5;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;bar lago verde;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;Tavola fredda";36
"VLE DELL' AVIAZIONE N. 65 int.aereoporto mi-linate ovest; isolato:101; accesso: area ap.rec.; (z.d. 4)";VLE ;DELL' AVIAZIONE;65;3319;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;bar tabacchi;"Mensa;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";122
"VIA FREIKOFEL N. 25 ; isolato:079; accesso: accesso interno; (z.d. 4)";VIA ;FREIKOFEL;25;4367;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;83
"VIA FARINI CARLO N. 17 c/o parrocchia s. antonio da p; isolato:069; accesso: accesso interno; (z.d. 8)";VIA ;FARINI CARLO;17;1114;8;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;Spaccio bevande analcoliche;50
"VIA PROCACCINI GIULIO CESARE N. 1 c/o bar circolo enel; isolato:066; accesso: accesso interno; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;1;7204;8;somministrazione/minuto;somministrazione;misto;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";100
"VIA ARSIA N. 3 ; isolato:089; accesso: accesso interno; (z.d. 8)";VIA ;ARSIA;3;7472;8;solo somministrazione;somministrazione;al banco;club privato;;BAR CAFFÈ;60
"VIA ARSIA N. 7 ; isolato:089; accesso: accesso interno; (z.d. 8)";VIA ;ARSIA;7;7472;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;30
"VIA LESSONA MICHELE N. 21 c/o circolo q.to oggiaro; isolato:044; accesso: accesso interno; (z.d. 8)";VIA ;LESSONA MICHELE;21;7490;8;solo somministrazione;somministrazione;al banco;club privato;;"Tavola fredda;BAR CAFFÈ";24
"VIA SILE N. 14 c/o circolo arci corvetto; isolato:051; accesso: accesso esterno; (z.d. 4)";VIA ;SILE;14;4106;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Tavola calda;Elettr.Automatici Meccaniche;BAR CAFFÈ";107
"VIA MANIN DANIELE N. 23 interno aziende,fabbriche,ecc.; isolato:016; accesso: accesso interno; (z.d. 1)";VIA ;MANIN DANIELE;23;1052;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"BAR CAFFÈ;Tavola calda";78
"VIA COPERNICO NICOLO' N. 1 c/o istituto san vincenzo; isolato:240; accesso: accesso interno; (z.d. 2)";VIA ;COPERNICO NICOLO';1;1204;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;istituto san vincenzo;Mensa;174
"PZA LUIGI DI SAVOIA N. 1 interno stazioni ferroviarie; isolato:181; accesso: accesso interno; (z.d. 2)";PZA ;LUIGI DI SAVOIA;1;2260;2;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;96
"VIA SAN CRISTOFORO N. 1 c/o parrocchia s. cristoforo; isolato:002; accesso: accesso interno; (z.d. 6)";VIA ;SAN CRISTOFORO;1;5141;6;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"Biliardo;Bocce;Tavola fredda;Carte;BAR CAFFÈ";30
"VIA LODOVICO IL MORO N. 49 c/o cral pozzi ginori; isolato:016; accesso: accesso interno; (z.d. 6)";VIA ;LODOVICO IL MORO;49;5290;6;somministrazione/minuto;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;72
"ALZ NAVIGLIO GRANDE N. 160 c/o circolo canottieri milano; isolato:002; accesso: accesso interno; (z.d. 6)";ALZ ;NAVIGLIO GRANDE;160;5144;6;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Ristorante;Genere Merceol.Autorizz.Sanit.";275
"VIA SANTA RITA DA CASCIA N. 22 c/o parrocchia; isolato:041; accesso: accesso esterno; (z.d. 6)";VIA ;SANTA RITA DA CASCIA;22;5301;6;somministrazione/minuto;somministrazione;al banco;circoli parrocchiali;;BAR CAFFÈ;
"VIA CESARIANO CESARE N. 10 ; isolato:112; accesso: accesso esterno; (z.d. 1)";VIA ;CESARIANO CESARE;10;7113;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;the black - discoteca;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Sale da ballo, locali notturni";286
