Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"VIA DELLA SPIGA num.019/a; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;DELLA SPIGA;;226;1;tiffany;non alimentare;;266;266
"PZA OTTO NOVEMBRE N. 6 ; isolato:149; accesso: accesso esterno; (z.d. 3)";PZA ;OTTO NOVEMBRE;6;2187;3;;non alimentare;3;270;267
"CSO MATTEOTTI GIACOMO N. 14 ;cso matteotti giacomo 014; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;14;218;1;;non alimentare;;267;267
"VIA VERRI PIETRO N. 8 ;via verri pietro 008; isolato:315; accesso: accesso esterno; (z.d. 1)";VIA ;VERRI PIETRO;8;223;1;;non alimentare;;364;267
"VIA DELL' ORSO num.007/a; isolato:311; accesso: accesso esterno; (z.d. 1)";VIA ;DELL' ORSO;;123;1;;non alimentare;172;441;269
"VIA ENNIO N. 6 ; isolato:121; accesso: accesso esterno; (z.d. 4)";VIA ;ENNIO;6;4090;4;il caminetto;non alimentare;;269;269
"VIA SAN MARCO N. 26 ; isolato:177; accesso: accesso esterno; (z.d. 1)";VIA ;SAN MARCO;26;1036;1;carrefour;"alimentare;non alimentare";95;364;269
"VIA DANTE ALIGHIERI N. 7 ;via dante alighieri 007; isolato:375; accesso: accesso esterno; (z.d. 1)";VIA ;DANTE ALIGHIERI;7;612;1;max  E  co.;non alimentare;;270;270
"VIA PETITTI CARLO ILARIONE N. 5 ; isolato:330; accesso: accesso esterno; (z.d. 8)";VIA ;PETITTI CARLO ILARIONE;5;7161;8;;non alimentare;100;370;270
"VIA SANTA CROCE N. 8 ; isolato:212; accesso: accesso esterno; (z.d. 1)";VIA ;SANTA CROCE;8;5188;1;;non alimentare;130;400;270
"VIA TORINO N. 21 ;via torino 021; isolato:446; accesso: accesso esterno; (z.d. 1)";VIA ;TORINO;21;543;1;;non alimentare;;270;270
"VLE PISA N. 10 aff. az. tacit. rinnov.; isolato:200; accesso: accesso esterno; (z.d. 7)";VLE ;PISA;10;6615;7;punto sma;"alimentare;non alimentare";140;691;270
"VIA STRIGELLI GAETANO num.013/int; isolato:078; accesso: accesso esterno; (z.d. 4)";VIA ;STRIGELLI GAETANO;;3214;4;;non alimentare;;270;270
"VIA VENINI GIULIO E CORRADO N. 87 ; isolato:320; accesso: accesso esterno; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;87;2258;2;;non alimentare;;270;270
"VIA BIGLI N. 19 ;via bigli 019; isolato:363; accesso: accesso esterno; (z.d. 1)";VIA ;BIGLI;19;224;1;;non alimentare;110;380;270
"RIP DI PTA TICINESE N. 73 ; isolato:068; accesso: accesso esterno; (z.d. 6)";RIP ;DI PTA TICINESE;73;5150;6;ecliss top garden;non alimentare;;270;270
"VLE ARETUSA N. 37 ; isolato:003; accesso: accesso esterno; (z.d. 7)";VLE ;ARETUSA;37;6565;7;euronics point;non alimentare;63;333;270
"VIA MOLINO DELLE ARMI N. 49 ;via molino delle armi 049; isolato:126; accesso: accesso esterno; (z.d. 1)";VIA ;MOLINO DELLE ARMI;49;591;1;mornata art decor;non alimentare;;270;270
"VIA FARA GUSTAVO N. 35 ; isolato:289; accesso: accesso esterno; (z.d. 9)";VIA ;FARA GUSTAVO;35;1183;9;natura si;"alimentare;non alimentare";;270;270
"VIA MONTE NAPOLEONE num.006/a; (z.d. 1)";VIA ;MONTE NAPOLEONE;;219;1;;;;270;270
"CSO SAN GOTTARDO N. 11 ; isolato:095; accesso: accesso esterno; (z.d. 5)";CSO ;SAN GOTTARDO;11;5203;5;prenatal;non alimentare;21;291;270
"VIA BORGOGNA N. 2 allo sportello x distribuzione;gll strasburgo 000; isolato:317; accesso: accesso esterno; (z.d. 1)";VIA ;BORGOGNA;2;301;1;;non alimentare;;270;270
"VIA MONTE NAPOLEONE N. 10 199,63+71,53;via monte napoleone 010; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;MONTE NAPOLEONE;10;219;1;iceberg;non alimentare;;271;271
"VIA BIANCHI MOSE' N. 94 loc. interno; isolato:220; accesso: accesso interno; (z.d. 7)";VIA ;BIANCHI MOSE';94;6385;7;;"alimentare;non alimentare";;271;271
VLE MONZA N. 289 (z.d. 2);VLE ;MONZA;289;2274;2;;non alimentare;;378;272
"LGO AUGUSTO N. 10 ;lgo augusto 010; isolato:267; accesso: accesso esterno; (z.d. 1)";LGO ;AUGUSTO;10;315;1;giovenzana;non alimentare;;314;273
CSO GARIBALDI GIUSEPPE N. 127 (z.d. 1);CSO ;GARIBALDI GIUSEPPE;127;1010;1;;non alimentare;;273;273
"VIA ALDINI ANTONIO num.028/b; isolato:097; accesso: accesso esterno; (z.d. 8)";VIA ;ALDINI ANTONIO;;7461;8;;non alimentare;138;414;276
"VIA TORINO N. 34 ;via torino 034; isolato:441; accesso: accesso esterno; (z.d. 1)";VIA ;TORINO;34;543;1;datch;non alimentare;;311;276
"VIA SANT' ANDREA N. 11 ;via sant' andrea 011; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;11;222;1;;non alimentare;;300;277
"VIA TITO LIVIO N. 28 ; isolato:146; accesso: accesso esterno; (z.d. 4)";VIA ;TITO LIVIO;28;4086;4;milano star mercedes benz;non alimentare;;277;277
"VIA LIPPI FILIPPINO N. 19 ; isolato:045; accesso: accesso esterno; (z.d. 3)";VIA ;LIPPI FILIPPINO;19;2196;3;ronchi arredamenti snc;non alimentare;;277;277
VIA TORINO N. 44 (z.d. 1);VIA ;TORINO;44;543;1;;Non Alimentare;;419;277
"VIA MANZONI ALESSANDRO N. 7 ;via manzoni alessandro 007; isolato:364; accesso: accesso esterno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;7;230;1;tenda davide cenci;non alimentare;;278;278
"VLE GIOVANNI DA CERMENATE N. 27 ; isolato:010; accesso: accesso esterno; (z.d. 5)";VLE ;GIOVANNI DA CERMENATE;27;5261;5;di per di;"alimentare;non alimentare";;366;278
"VIA DELLE ORCHIDEE N. 4 interno superspacci alimentari; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA ;DELLE ORCHIDEE;4;6717;6;di per di;"alimentare;non alimentare";;520;280
"VLE TIBALDI N. 3 ; isolato:160; accesso: accesso esterno; (z.d. 5)";VLE ;TIBALDI;3;5234;5;;non alimentare;;280;280
"LGO TREVES CLAUDIO N. 2 ; isolato:247; accesso: accesso esterno; (z.d. 3)";LGO ;TREVES CLAUDIO;2;1026;1;argenteria dabbene;non alimentare;180;460;280
"VIA GAGGIA PIETRO N. 1 ; isolato:070; accesso: accesso esterno; (z.d. 4)";VIA ;GAGGIA PIETRO;1;4187;4;;non alimentare;20;300;280
"VIA MAGGI CARLO MARIA N. 10 aff. az.tacit. rinnov.; isolato:124; accesso: accesso esterno; (z.d. 1)";VIA ;MAGGI CARLO MARIA;10;7115;1;punto sma;alimentare;;458;280
"VIA CACCIATORI BENEDETTO N. 12 ; isolato:063; accesso: accesso interno; (z.d. 7)";VIA ;CACCIATORI BENEDETTO;12;6305;7;;non alimentare;;280;280
"VIA PAISIELLO GIOVANNI N. 1 ; isolato:063; accesso: accesso esterno; (z.d. 3)";VIA ;PAISIELLO GIOVANNI;1;2245;3;;non alimentare;270;550;280
"VLE BLIGNY N. 54 ; isolato:108; accesso: accesso esterno; (z.d. 5)";VLE ;BLIGNY;54;4045;5;crai;"alimentare;non alimentare";;280;280
"codvia 0198 num.010 ; isolato:065; accesso: accesso esterno; (z.d. 6)";;;;;;;non alimentare;;280;280
"VIA CASORETTO N. 45 ; isolato:006; accesso: accesso esterno; (z.d. 3)";VIA ;CASORETTO;45;2420;3;sonia cars;non alimentare;;280;280
"CSO VERCELLI N. 8 ; isolato:217; accesso: accesso esterno; (z.d. 6)";CSO ;VERCELLI;8;6193;7;dev;non alimentare;;281;281
"CSO SAN GOTTARDO N. 19 ; isolato:095; accesso: accesso esterno; (z.d. 5)";CSO ;SAN GOTTARDO;19;5203;5;gottardo sport;non alimentare;;283;283
"PZA DEL DUOMO N. 17 ;pza dei mercanti 021; isolato:436; accesso: accesso esterno; (z.d. 1)";PZA ;DEL DUOMO;17;1;1;dolomiti sport;non alimentare;;286;286
"VIA NOVARA N. 127 ; isolato:038; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;127;6624;7;;non alimentare;;286;286
"VIA CATULLO N. 8 loc. interno; (z.d. 8)";VIA ;CATULLO;8;7428;8;;non alimentare;;286;286
"VIA GALLI MARIO N. 19 ; isolato:013; accesso: accesso interno; (z.d. 9)";VIA ;GALLI MARIO;19;1304;9;;non alimentare;71;358;287
"CSO BUENOS AIRES N. 55 ; isolato:035; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;55;2129;3;gbc componenti elettronic;non alimentare;;288;288
"VIA SANT' ANDREA N. 15 sportello distribuzione + fall;via sant' andrea 021; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;15;222;1;gianfranco ferre;non alimentare;;289;289
"VIA QUARENGHI GIACOMO N. 23 centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA ;QUARENGHI GIACOMO;23;7478;8;master special;non alimentare;;290;290
"VIA CASORETTO N. 33 ; isolato:006; accesso: accesso esterno; (z.d. 3)";VIA ;CASORETTO;33;2420;3;;non alimentare;;290;290
"PZA DE ANGELI ERNESTO N. 1 ; isolato:218; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;1;6276;7;hi-fi;non alimentare;;290;290
"VIA OROBIA N. 11 ; isolato:014; accesso: accesso esterno; (z.d. 5)";VIA ;OROBIA;11;4137;5;boschi;non alimentare;;290;290
"VIA SANT' ANDREA num.010/a; (z.d. 1)";VIA ;SANT' ANDREA;;222;1;;non alimentare;;290;290
"CSO ITALIA N. 40 ;via molino delle armi 004; isolato:476; accesso: accesso esterno; (z.d. 1)";CSO ;ITALIA;40;526;1;;non alimentare;100;392;292
"PZA CORDUSIO N. 2 ;pza cordusio 002; isolato:436; accesso: accesso esterno; (z.d. 1)";PZA ;CORDUSIO;2;626;1;;;;292;292
"VLE ABRUZZI N. 51 ; isolato:029; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;51;2177;3;;non alimentare;;292;292
"VIA FALLOPPIO GABRIELE N. 11 ; isolato:009; accesso: accesso esterno; (z.d. 3)";VIA ;FALLOPPIO GABRIELE;11;2424;3;;non alimentare;;292;292
"PZA DE ANGELI ERNESTO N. 3 ; isolato:218; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;3;6276;7;photodiscount;non alimentare;;292;292
"VIA VOLTRI N. 8 ; isolato:231; accesso: accesso esterno; (z.d. 6)";VIA ;VOLTRI;8;5354;6;carrefour;"alimentare;non alimentare";;422;292
"LGO RICHINI FRANCESCO N. 1 ;lgo richini francesco 001; isolato:325; accesso: accesso esterno; (z.d. 1)";LGO ;RICHINI FRANCESCO;1;331;1;;non alimentare;37;330;293
"VIA BOSCOVICH RUGGERO N. 49 ; isolato:074; accesso: accesso esterno; (z.d. 3)";VIA ;BOSCOVICH RUGGERO;49;2131;3;blockbuster;"alimentare;non alimentare";;376;293
"VIA MEDA GIUSEPPE N. 16 ; isolato:160; accesso: accesso esterno; (z.d. 5)";VIA ;MEDA GIUSEPPE;16;5242;5;cai;non alimentare;;294;294
"VIA TAGIURA N. 19 ; isolato:042; accesso: accesso esterno; (z.d. 6)";VIA ;TAGIURA;19;6125;6;;non alimentare;;294;294
"VIA SANTA MARIA VALLE N. 1 ;via santa maria valle 001; isolato:397; accesso: accesso esterno; (z.d. 1)";VIA ;SANTA MARIA VALLE;1;535;1;;non alimentare;;294;294
"VIA VAL DI BONDO N. 15 aff. az. tacit. rinnov.; isolato:031; accesso: accesso esterno; (z.d. 9)";VIA ;VAL DI BONDO;15;1648;9;punto sma;"alimentare;non alimentare";;396;295
"VIA SETTEMBRINI LUIGI N. 11 ; isolato:073; accesso: accesso esterno; (z.d. 2)";VIA ;SETTEMBRINI LUIGI;11;2127;2;belmonte camiciaio italia;non alimentare;;295;295
CSO VITTORIO EMANUELE II N. 30 (z.d. 1);CSO ;VITTORIO EMANUELE II;30;214;1;;"Alimentare;Non Alimentare";;525;295
"GLL BUENOS AIRES N. 9 ; isolato:060; accesso: accesso esterno; (z.d. 3)";GLL ;BUENOS AIRES;9;2146;3;celio;non alimentare;;298;298
VIA TORINO N. 23 (z.d. 1);VIA ;TORINO;23;543;1;;non alimentare;;397;298
"VIA PASSARELLA N. 4 ;gll passarella 004*; isolato:386; accesso: accesso esterno; (z.d. 1)";VIA ;PASSARELLA;4;298;1;caractere;non alimentare;;480;300
"VIA SAN GREGORIO N. 48 ; isolato:069; accesso: accesso esterno; (z.d. 2)";VIA ;SAN GREGORIO;48;2123;2;;non alimentare;250;550;300
"VIA DEL DUCA CINO N. 12 ;via del duca cino 012; isolato:191; accesso: accesso esterno; (z.d. 1)";VIA ;DEL DUCA CINO;12;362;1;;non alimentare;110;410;300
"VIA ROSSI PELLEGRINO N. 15 ; isolato:182; accesso: accesso esterno; (z.d. 9)";VIA ;ROSSI PELLEGRINO;15;1510;9;;non alimentare;30;330;300
"VIA VARESINA N. 92 ; isolato:237; accesso: accesso esterno; (z.d. 8)";VIA ;VARESINA;92;7290;8;unes;"alimentare;non alimentare";;560;300
"VIA MELZO N. 7 ; isolato:150; accesso: accesso esterno; (z.d. 3)";VIA ;MELZO;7;2184;3;jannelli e volpi;non alimentare;;300;300
"VLE ABRUZZI num.013/a; isolato:067; accesso: accesso interno; (z.d. 3)";VLE ;ABRUZZI;;2177;3;;non alimentare;;300;300
"RIP DI PTA TICINESE N. 47 ; isolato:072; accesso: accesso interno; (z.d. 6)";RIP ;DI PTA TICINESE;47;5150;6;;non alimentare;;300;300
"VIA PROCACCINI GIULIO CESARE N. 32 ; isolato:054; accesso: accesso esterno; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;32;7204;8;bassetti;non alimentare;;300;300
"VIA CARNEVALI ANTONIO N. 28 ; isolato:043; accesso: accesso interno; (z.d. 9)";VIA ;CARNEVALI ANTONIO;28;1268;9;;non alimentare;50;350;300
"VIA TEODOSIO N. 55 ; isolato:015; accesso: accesso esterno; (z.d. 3)";VIA ;TEODOSIO;55;2550;3;garage porpora autofficin;non alimentare;350;650;300
"GLL UNIONE N. 1 ;pza missori giuseppe 000; isolato:470; accesso: accesso esterno; (z.d. 1)";GLL ;UNIONE;1;510;1;libreria esoterica;non alimentare;;300;300
VIA PONTE VETERO N. 14 (z.d. 1);VIA ;PONTE VETERO;14;718;1;;"alimentare;non alimentare";;300;300
"VIA ALESSANDRIA N. 3 ; isolato:052; accesso: accesso esterno; (z.d. 6)";VIA ;ALESSANDRIA;3;5109;6;spazionavigli;non alimentare;;300;300
VIA PONTACCIO N. 3 (z.d. 1);VIA ;PONTACCIO;3;143;1;;non alimentare;;300;300
"CSO VERCELLI N. 20 ; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO ;VERCELLI;20;6193;7;carrefour;"alimentare;non alimentare";;388;300
"VLE PASUBIO N. 13 ; isolato:318; accesso: accesso esterno; (z.d. 1)";VLE ;PASUBIO;13;1112;1;;non alimentare;;300;300
"VIA BRIZI EUGENIO N. 4 ; isolato:070; accesso: accesso esterno; (z.d. 4)";VIA ;BRIZI EUGENIO;4;4186;4;;non alimentare;;300;300
"VIA ZOCCHI CESARE N. 1 ; isolato:025; accesso: accesso esterno; (z.d. 9)";VIA ;ZOCCHI CESARE;1;1301;9;discount;"alimentare;non alimentare";;450;300
"VIA PORRO LAMBERTENGHI LUIGI N. 16 ; isolato:264; accesso: accesso esterno; (z.d. 9)";VIA ;PORRO LAMBERTENGHI LUIGI;16;1142;9;carrefour;"alimentare;non alimentare";;386;300
"RIP DI PTA TICINESE N. 73 ; isolato:068; accesso: accesso interno; (z.d. 6)";RIP ;DI PTA TICINESE;73;5150;6;ecliss;non alimentare;;300;300
"VIA BIGLI N. 2 ;via bigli 002; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA ;BIGLI;2;224;1;;non alimentare;;300;300
CSO BUENOS AIRES N. 18 (z.d. 3);CSO ;BUENOS AIRES;18;2129;3;;non alimentare;;300;300
"CSO DI PORTA VIGENTINA N. 36 ; isolato:119; accesso: accesso esterno; (z.d. 1)";CSO ;DI PORTA VIGENTINA;36;4026;1;carrefour;"alimentare;non alimentare";;389;300
"VIA ARONA num.015; isolato:311; accesso: accesso esterno; (z.d. 8)";VIA ;ARONA;;7169;8;arona spa-alfaromeo fiat;non alimentare;;300;300
"VLE LANCETTI VINCENZO N. 46 ; isolato:097; accesso: area ap.rec.; (z.d. 9)";VLE ;LANCETTI VINCENZO;46;1221;9;porsche;non alimentare;;300;300
VIA LITTA MODIGNANI ALESSANDRO N. 112 ();VIA ;LITTA MODIGNANI ALESSANDRO;112;1539;9;;non alimentare;;0;300
"VIA TADINO ALESSANDRO N. 53 ; accesso: accesso esterno; (z.d. 3)";VIA ;TADINO ALESSANDRO;53;2109;3;la libreria dei ragazzi;non alimentare;;600;300
"VIA CALZECCHI TEMISTOCLE N. 17 ; isolato:164; accesso: accesso esterno; (z.d. 3)";VIA ;CALZECCHI TEMISTOCLE;17;3241;3;;non alimentare;291;0;300
"PZA RISORGIMENTO N. 10 ; isolato:005; accesso: accesso esterno; (z.d. 4)";PZA ;RISORGIMENTO;10;3117;4;;non alimentare;19;321;302
"VIA GAMBOLOITA N. 4 ; isolato:052; accesso: accesso esterno; (z.d. 4)";VIA ;GAMBOLOITA;4;4160;4;concessionari ricamb.fiat;non alimentare;300;605;305
"VIA COSTA ANDREA N. 1 ; isolato:358; accesso: accesso esterno; (z.d. 2)";VIA ;COSTA ANDREA;1;2276;2;centro sposi paradiso;"alimentare;non alimentare";;305;305
"VLE ESPINASSE CARLO N. 106 ; isolato:194; accesso: accesso interno; (z.d. 8)";VLE ;ESPINASSE CARLO;106;7390;8;;non alimentare;;305;305
VIA CASSINIS GIOVANNI BATTISTA N. 7 (z.d. 4);VIA ;CASSINIS GIOVANNI BATTISTA;7;4309;4;;non alimentare;;305;305
"VIA VICO GIAN BATTISTA N. 14 ; isolato:225; accesso: accesso esterno; (z.d. 1)";VIA ;VICO GIAN BATTISTA;14;6219;1;;non alimentare;15;322;307
"VIA DOLCI CARLO N. 8 ; isolato:255; accesso: accesso esterno; (z.d. 7)";VIA ;DOLCI CARLO;8;6555;7;carrefour;"alimentare;non alimentare";;444;308
"VLE ELVEZIA N. 22 loc.interno; isolato:126; accesso: area ap.rec.; (z.d. 1)";VLE ;ELVEZIA;22;7085;1;la casa italiana;non alimentare;;666;309
"VIA FERRUCCI FRANCESCO N. 2 ; isolato:085; accesso: accesso esterno; (z.d. 8)";VIA ;FERRUCCI FRANCESCO;2;7150;8;;non alimentare;20;330;310
"VIA VAL DI SOLE N. 12 ; isolato:166; accesso: accesso esterno; (z.d. 5)";VIA ;VAL DI SOLE;12;4295;5;unes supermercati;"alimentare;non alimentare";310;620;310
"VIA CASATI FELICE N. 32 ; isolato:096; accesso: accesso esterno; (z.d. 2)";VIA ;CASATI FELICE;32;2122;2;di per di;"alimentare;non alimentare";;379;310
VIA BALESTRIERI DOMENICO N. 6 (z.d. 1);VIA ;BALESTRIERI DOMENICO;6;7116;1;;non alimentare;;0;310
"VIA DANTE ALIGHIERI N. 7 ;via dante alighieri 007; isolato:375; accesso: accesso esterno; (z.d. 1)";VIA ;DANTE ALIGHIERI;7;612;1;guess;non alimentare;;485;311
"VIA SERLIO SEBASTIANO num.008/2; isolato:027; accesso: accesso esterno; (z.d. 4)";;;;;;dugan;"alimentare;non alimentare";;528;312
"VIA VIPACCO N. 36 ; isolato:026; accesso: accesso esterno; (z.d. 2)";VIA ;VIPACCO;36;2444;2;;non alimentare;;312;312
"VIA MARGHERA N. 36 ; isolato:212; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;36;6280;7;;"alimentare;non alimentare";;314;314
"VIA FELTRE N. 17 ; isolato:059; (z.d. 3)";VIA ;FELTRE;17;2652;3;;non alimentare;;314;314
VIA MANZONI ALESSANDRO N. 38 (z.d. 1);VIA ;MANZONI ALESSANDRO;38;230;1;;Non Alimentare;;403;314
"VIA IMPERIA N. 15 ; isolato:051; accesso: accesso esterno; (z.d. 5)";VIA ;IMPERIA;15;5266;5;;non alimentare;550;865;315
"CSO BUENOS AIRES N. 2 loc. interno; isolato:143; accesso: accesso interno; (z.d. 3)";CSO ;BUENOS AIRES;2;2129;3;;non alimentare;17;332;315
