Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;superficie_altri_usi;superficie_lavorativa;tipo_eser_pa;;;;;;;
"VIA SOLAROLI PAOLO N. 10 ; (z.d. 5)";VIA ;SOLAROLI PAOLO;10;4254;5;;;ACCONCIATORE;;;;;;;
"VIA SULMONA N. 23 1 locale; (z.d. 4)";VIA ;SULMONA;23;4180;4;;24;Parrucchiere per uomo;;;;;;;
"VIA SULMONA N. 23 ; (z.d. 4)";VIA ;SULMONA;23;4180;4;;24;Parrucchiere per signora;;;;;;;
"VIA TAGLIAMENTO N. 5 ; (z.d. 4)";VIA ;TAGLIAMENTO;5;4147;4;18;14;Parrucchiere per signora;;;;;;;
"VIA VAL DI SOLE N. 22 ; (z.d. 5)";VIA ;VAL DI SOLE;22;4295;5;;25;"TIPO A-B-C-D;Estetista in profumeria";;;;;;;
"VIA VAL DI SOLE N. 10 ; (z.d. 5)";VIA ;VAL DI SOLE;10;4295;5;;35;Parrucchiere per signora;;;;;;;
"VIA VAL DI SOLE N. 22 ; (z.d. 5)";VIA ;VAL DI SOLE;22;4295;5;;30;Parrucchiere per uomo;;;;;;;
"VIA VAL MESOLCINA N. 2 ; (z.d. 4)";VIA ;VAL MESOLCINA;2;4194;4;9;26;Parrucchiere per signora;;;;;;;
"VIA VENEZIANO DOMENICO N. 5 ; (z.d. 4)";VIA ;VENEZIANO DOMENICO;5;4190;4;;15;Parrucchiere per signora;;;;;;;
"VIA VERRO BERNARDINO N. 62 ; (z.d. 5)";VIA ;VERRO BERNARDINO;62;4223;5;;68;Parrucchiere per signora;;;;;;;
"VIA MARINETTI FILIPPO TOMMASO N. 2 ; (z.d. 2)";VIA ;MARINETTI FILIPPO TOMMASO;2;2223;2;;22;TIPO A ESTETICA MANUALE;;;;;;;
"VIA ARENA N. 35 ; (z.d. 1)";VIA ;ARENA;35;5182;1;11;17;Parrucchiere per uomo;;;;;;;
"VIA ARIBERTO DA INTIMIANO N. 19 ; (z.d. 1)";VIA ;ARIBERTO DA INTIMIANO;19;5092;1;5;14;Parrucchiere per uomo;;;;;;;
"VIA DEL BOLLO num.002c; (z.d. 1)";VIA ;DEL BOLLO;;568;1;;41;Parrucchiere per signora;;;;;;;
"VIA DEL BOLLO N. 3 ; (z.d. 1)";VIA ;DEL BOLLO;3;568;1;4;18;Parrucchiere per uomo;;;;;;;
"VIA CAMINADELLA N. 9 ; (z.d. 1)";VIA ;CAMINADELLA;9;551;1;4;50;Parrucchiere per signora;;;;;;;
"VIA CAMINADELLA N. 7 ; (z.d. 1)";VIA ;CAMINADELLA;7;551;1;;38;TIPO A ESTETICA MANUALE;;;;;;;
"VIA CARROCCIO N. 3 ; (z.d. 1)";VIA ;CARROCCIO;3;5094;1;;46;Parrucchiere per signora;;;;;;;
VIA CESARE DA SESTO N. 8 (z.d. 1);VIA ;CESARE DA SESTO;8;5101;1;;24;Parrucchiere per signora;;;;;;;
"VIA CONCA DEL NAVIGLIO N. 5 ; (z.d. 1)";VIA ;CONCA DEL NAVIGLIO;5;5180;1;14;21;Parrucchiere per signora;;;;;;;
"VIA DE AMICIS EDMONDO N. 36 ; (z.d. 1)";VIA ;DE AMICIS EDMONDO;36;574;1;;28;ACCONCIATORE;;;;;;;
"VIA DE AMICIS EDMONDO N. 39 ; (z.d. 1)";VIA ;DE AMICIS EDMONDO;39;574;1;;39;ACCONCIATORE;;;;;;;
"CSO GENOVA N. 4 ; (z.d. 1)";CSO ;GENOVA;4;5164;1;14;36;Parrucchiere per signora;;;;;;;
"VIA BOIFAVA PIETRO num.006c; (z.d. 5)";VIA ;BOIFAVA PIETRO;;5341;5;7;20;ACCONCIATORE;;;;;;;
"VIA BOIFAVA PIETRO N. 80 ; (z.d. 5)";VIA ;BOIFAVA PIETRO;80;5341;5;2;23;ACCONCIATORE;;;;;;;
"VIA BONGHI RUGGERO N. 16 ; (z.d. 5)";VIA ;BONGHI RUGGERO;16;5247;5;1;36;Parrucchiere per signora;;;;;;;
"VIA CARCANO GIULIO N. 4 ; (z.d. 5)";VIA ;CARCANO GIULIO;4;5248;5;1;34;Parrucchiere per signora;;;;;;;
"VIA CARCANO GIULIO num.0613; (z.d. 5)";VIA ;CARCANO GIULIO;;5248;5;6;22;Parrucchiere per signora;;;;;;;
"PZA CARRARA FRANCESCO N. 21 ; (z.d. 5)";PZA ;CARRARA FRANCESCO;21;5258;5;;;Parrucchiere per uomo;;;;;;;
"VLE GIOVANNI DA CERMENATE num.035a; (z.d. 5)";VLE ;GIOVANNI DA CERMENATE;;5261;5;;29;Parrucchiere per uomo;;;;;;;
"VLE GIOVANNI DA CERMENATE N. 45 ; (z.d. 5)";VLE ;GIOVANNI DA CERMENATE;45;5261;5;;35;Parrucchiere per signora;;;;;;;
"VIA DE RUGGIERO GUIDO N. 4 ; (z.d. 5)";VIA ;DE RUGGIERO GUIDO;4;5442;5;;30;Parrucchiere per uomo;;;;;;;
"VIA DE SANCTIS FRANCESCO N. 17 ; (z.d. 5)";VIA ;DE SANCTIS FRANCESCO;17;5322;5;;35;Parrucchiere per signora;;;;;;;
"VIA FERABOLI ACHILLE N. 33 ; (z.d. 5)";VIA ;FERABOLI ACHILLE;33;5421;5;;22;"Parrucchiere per uomo;TIPO A ESTETICA MANUALE";;;;;;;
"VIA FERABOLI ACHILLE N. 35 ; (z.d. 5)";VIA ;FERABOLI ACHILLE;35;5421;5;;30;ACCONCIATORE;;;;;;;
"VIA ISIMBARDI INNOCENZO N. 4 ; (z.d. 5)";VIA ;ISIMBARDI INNOCENZO;4;5332;5;;37;Parrucchiere per signora;;;;;;;
"VIA MEDA GIUSEPPE num.033a; (z.d. 5)";VIA ;MEDA GIUSEPPE;;5242;5;;29;Parrucchiere per signora;;;;;;;
"VIA MEDEGHINO N. 4 ; (z.d. 5)";VIA ;MEDEGHINO;4;5335;5;;48;Parrucchiere per signora;;;;;;;
"VIA MEDEGHINO N. 32 ; (z.d. 5)";VIA ;MEDEGHINO;32;5335;5;;30;Parrucchiere per signora;;;;;;;
"VIA MOMIGLIANO ATTILIO N. 3 ; (z.d. 5)";VIA ;MOMIGLIANO ATTILIO;3;5401;5;;23;Parrucchiere per uomo;;;;;;;
"VIA MONTEGANI LODOVICO N. 13 ; (z.d. 5)";VIA ;MONTEGANI LODOVICO;13;5330;5;4;30;Parrucchiere per signora;;;;;;;
"VIA MONTEGANI LODOVICO N. 23 ; (z.d. 5)";VIA ;MONTEGANI LODOVICO;23;5330;5;;19;Parrucchiere per signora;;;;;;;
"VIA MONTEGANI LODOVICO N. 49 ; (z.d. 5)";VIA ;MONTEGANI LODOVICO;49;5330;5;;20;ACCONCIATORE;;;;;;;
"VIA MONTEGANI LODOVICO N. 66 ; (z.d. 5)";VIA ;MONTEGANI LODOVICO;66;5330;5;3;33;Parrucchiere per uomo;;;;;;;
"VIA NEERA ANNA N. 22 ; (z.d. 5)";VIA ;NEERA ANNA;22;5326;5;4;22;Parrucchiere per uomo;;;;;;;
"VIA NEERA ANNA num.0253; (z.d. 5)";;;;;;10;26;Parrucchiere per signora;;;;;;;
"VIA PEZZOTTI GIOVANNI N. 46 ; (z.d. 5)";VIA ;PEZZOTTI GIOVANNI;46;5244;5;6;27;Parrucchiere per uomo;;;;;;;
"VIA PEZZOTTI GIOVANNI N. 55 ; (z.d. 5)";VIA ;PEZZOTTI GIOVANNI;55;5244;5;;16;Parrucchiere misto;;;;;;;
"VIA POMPONAZZI PIETRO N. 4 ; (z.d. 5)";VIA ;POMPONAZZI PIETRO;4;5246;5;;30;Parrucchiere per signora;;;;;;;
"VIA SFORZA ASCANIO N. 81 ; (z.d. 5)";VIA ;SFORZA ASCANIO;81;5201;5;;;Parrucchiere per signora;;;;;;;
"VIA SANTA TERESA num.020a; (z.d. 5)";VIA ;SANTA TERESA;;5314;5;;;Parrucchiere per signora;;;;;;;
"VIA VALLA LORENZO N. 25 ; (z.d. 5)";VIA ;VALLA LORENZO;25;5336;5;;26;Parrucchiere per signora;;;;;;;
"VIA TRECCANI DEGLI ALFIERI GIOVANNI N. 16 ; (z.d. 5)";VIA ;TRECCANI DEGLI ALFIERI GIOVANNI;16;5462;5;;55;TIPO A-B-C-D;;;;;;;
"VIA VALLA LORENZO num.02520; (z.d. 5)";VIA ;VALLA LORENZO;;5336;5;4;52;Parrucchiere per signora;;;;;;;
"VIA VOLVINIO N. 39 ; (z.d. 5)";VIA ;VOLVINIO;39;5333;5;;16;ACCONCIATORE;;;;;;;
"VIA PREVIATI GAETANO N. 72 ; (z.d. 7)";VIA ;PREVIATI GAETANO;72;6384;7;;33;Parrucchiere per signora;;;;;;;
"VIA PROCOPIO N. 5 ; (z.d. 6)";VIA ;PROCOPIO;5;6117;6;4;14;Parrucchiere per signora;;;;;;;
"VIA RASORI GIOVANNI N. 2 ; (z.d. 7)";VIA ;RASORI GIOVANNI;2;6190;7;;59;Parrucchiere per signora;;;;;;;
"VIA ADIGE N. 4 ; (z.d. 5)";VIA ;ADIGE;4;4216;5;;35;Acconciatore;;;;;;;
"VIA ADIGE N. 10 ; (z.d. 5)";VIA ;ADIGE;10;4216;5;;26;Parrucchiere per signora;;;;;;;
"VIA ADIGE N. 10 ; (z.d. 5)";VIA ;ADIGE;10;4216;5;;;Parrucchiere per uomo;;;;;;;
"PZA BUOZZI BRUNO N. 5 ; (z.d. 4)";PZA ;BUOZZI BRUNO;5;4221;4;12;21;Parrucchiere per signora;;;;;;;
"VIA BURLAMACCHI FRANCESCO N. 11 ; (z.d. 4)";VIA ;BURLAMACCHI FRANCESCO;11;4077;4;3;16;"Parrucchiere per uomo;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
VIA CADIBONA N. 8 (z.d. 4);VIA ;CADIBONA;8;3339;4;;22;Parrucchiere per signora;;;;;;;
"VIA CADORE N. 30 ; (z.d. 4)";VIA ;CADORE;30;3077;4;;12;Parrucchiere per uomo;;;;;;;
"VIA CADORE N. 39 ; (z.d. 4)";VIA ;CADORE;39;3077;4;;;ACCONCIATORE;;;;;;;
"VIA CADORE N. 48 ; (z.d. 4)";VIA ;CADORE;48;3077;4;;28;Acconciatore;;;;;;;
"VIA CALVAIRATE N. 1 ; (z.d. 4)";VIA ;CALVAIRATE;1;3225;4;;16;Parrucchiere per uomo;;;;;;;
"VIA CARABELLI RODOLFO N. 11 ; (z.d. 4)";VIA ;CARABELLI RODOLFO;11;4096;4;11;53;Parrucchiere per signora;;;;;;;
"VIA CARONCINI ALBERTO N. 1 ; (z.d. 4)";VIA ;CARONCINI ALBERTO;1;4093;4;;26;Parrucchiere per signora;;;;;;;
"VIA CICERI VISCONTI LAURA N. 14 ; (z.d. 4)";VIA ;CICERI VISCONTI LAURA;14;3220;4;;36;Parrucchiere per signora;;;;;;;
"VIA CREMA N. 23 ; (z.d. 5)";VIA ;CREMA;23;4061;5;;24;Parrucchiere per uomo;;;;;;;
"VIA CREMA N. 29 ; (z.d. 5)";VIA ;CREMA;29;4061;5;;;Parrucchiere per signora;;;;;;;
"VIA DEGLI ETRUSCHI N. 5 ; (z.d. 4)";VIA ;DEGLI ETRUSCHI;5;3227;4;;13;Parrucchiere per signora;;;;;;;
"VIA FAA' DI BRUNO EMILIO N. 2 ; (z.d. 4)";VIA ;FAA' DI BRUNO EMILIO;2;4095;4;;;Parrucchiere per signora;;;;;;;
"VIA FRIULI N. 1 ; (z.d. 4)";VIA ;FRIULI;1;3199;4;;33;Parrucchiere per signora;;;;;;;
"CSO LODI N. 90 ; (z.d. 4)";CSO ;LODI;90;4068;4;;30;Parrucchiere per uomo;;;;;;;
"VIA FRIULI N. 15 ; (z.d. 4)";VIA ;FRIULI;15;3199;4;19;19;Parrucchiere per signora;;;;;;;
"PZA IMPERATORE TITO N. 6 ; (z.d. 4)";PZA ;IMPERATORE TITO;6;3216;4;;30;Parrucchiere per signora;;;;;;;
"PZA INSUBRIA N. 10 ; (z.d. 4)";PZA ;INSUBRIA;10;3221;4;;42;ACCONCIATORE;;;;;;;
"VIA LATTANZIO N. 72 ; (z.d. 4)";VIA ;LATTANZIO;72;4091;4;;39;"Parrucchiere per signora;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO LODI N. 1 ; (z.d. 4)";CSO ;LODI;1;4068;4;;97;Parrucchiere misto;;;;;;;
"CSO LODI N. 2 ; (z.d. 5)";CSO ;LODI;2;4068;5;15;45;Parrucchiere per signora;;;;;;;
"CSO LODI N. 2 ; (z.d. 5)";CSO ;LODI;2;4068;5;;40;Acconciatore;;;;;;;
"CSO LODI N. 15 ; (z.d. 4)";CSO ;LODI;15;4068;4;;;Parrucchiere per signora;;;;;;;
"CSO LODI N. 22 ; (z.d. 5)";CSO ;LODI;22;4068;5;;11;TIPO A ESTETICA MANUALE;;;;;;;
"CSO LODI N. 36 ; (z.d. 5)";CSO ;LODI;36;4068;5;1;18;Acconciatore;;;;;;;
"PLE MARTINI FERDINANDO N. 2 ; (z.d. 4)";PLE ;MARTINI FERDINANDO;2;3219;4;;;Parrucchiere per signora;;;;;;;
"PLE MARTINI FERDINANDO N. 11 ; (z.d. 4)";PLE ;MARTINI FERDINANDO;11;3219;4;;16;Parrucchiere per signora;;;;;;;
"VLE MOLISE N. 51 ; (z.d. 4)";VLE ;MOLISE;51;3178;4;;;Parrucchiere per uomo;;;;;;;
"VLE MOLISE N. 59 ; (z.d. 4)";VLE ;MOLISE;59;3178;4;;;Parrucchiere per signora;;;;;;;
"VIA MURATORI LODOVICO N. 11 ; (z.d. 4)";VIA ;MURATORI LODOVICO;11;4076;4;;;Parrucchiere per signora;;;;;;;
"VIA MURATORI LODOVICO N. 26 ; (z.d. 4)";VIA ;MURATORI LODOVICO;26;4076;4;;29;Parrucchiere per signora;;;;;;;
"VIA MURATORI LODOVICO N. 42 ; (z.d. 4)";VIA ;MURATORI LODOVICO;42;4076;4;;14;Parrucchiere per signora;;;;;;;
VIA MURATORI LODOVICO N. 54 (z.d. 4);VIA ;MURATORI LODOVICO;54;4076;4;;31;ACCONCIATORE;;;;;;;
"VIA PAPI LAZZARO N. 22 ; (z.d. 4)";VIA ;PAPI LAZZARO;22;4071;4;;15;Parrucchiere per uomo;;;;;;;
"VIA OLTROCCHI BALDASSARE N. 7 ; (z.d. 4)";VIA ;OLTROCCHI BALDASSARE;7;3217;4;;33;Parrucchiere misto;;;;;;;
"VIA PASSERONI GIAN CARLO N. 2 ; (z.d. 5)";VIA ;PASSERONI GIAN CARLO;2;4065;5;;;Parrucchiere per signora;;;;;;;
"VIA PERUGINO N. 32 ; (z.d. 4)";VIA ;PERUGINO;32;3198;4;;18;Parrucchiere per uomo;;;;;;;
"VIA PIACENZA N. 1 ; (z.d. 5)";VIA ;PIACENZA;1;4064;5;3;15;Parrucchiere per uomo;;;;;;;
"VIA PIACENZA N. 17 ; (z.d. 5)";VIA ;PIACENZA;17;4064;5;;16;Parrucchiere misto;;;;;;;
"VIA PISTRUCCI SCIPIONE N. 10 ; (z.d. 4)";VIA ;PISTRUCCI SCIPIONE;10;3215;4;;;Parrucchiere per uomo;;;;;;;
"VIA PISTRUCCI SCIPIONE N. 25 ; (z.d. 4)";VIA ;PISTRUCCI SCIPIONE;25;3215;4;;21;Parrucchiere per signora;;;;;;;
"VIA REZIA N. 8 ; (z.d. 4)";VIA ;REZIA;8;3200;4;;23;Parrucchiere per signora;;;;;;;
"VIA SEBINO N. 8 ; (z.d. 4)";VIA ;SEBINO;8;4092;4;;;Parrucchiere per signora;;;;;;;
"VIA SEBINO N. 19 ; (z.d. 4)";VIA ;SEBINO;19;4092;4;;22;Acconciatore;;;;;;;
"VIA RASORI GIOVANNI N. 8 ; (z.d. 7)";VIA ;RASORI GIOVANNI;8;6190;7;;32;Parrucchiere per signora;;;;;;;
"VIA RAVIZZA CARLO N. 24 ; (z.d. 7)";VIA ;RAVIZZA CARLO;24;6285;7;;;Parrucchiere per uomo;;;;;;;
"VIA RAVIZZA CARLO N. 24 ; (z.d. 7)";VIA ;RAVIZZA CARLO;24;6285;7;;;Parrucchiere per signora;;;;;;;
"VIA RONCAGLIA N. 35 ; (z.d. 6)";VIA ;RONCAGLIA;35;6122;6;8;15;Parrucchiere per uomo;;;;;;;
"VIA RONCAGLIA N. 35 ; (z.d. 6)";VIA ;RONCAGLIA;35;6122;6;4;30;Parrucchiere per signora;;;;;;;
"VIA ROTONDI GIOVANNI N. 8 ; (z.d. 8)";VIA ;ROTONDI GIOVANNI;8;6404;8;;100;"Parrucchiere per signora;TIPO A ESTETICA MANUALE;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SACCO LUIGI N. 3 ; (z.d. 7)";VIA ;SACCO LUIGI;3;6275;7;;88;Parrucchiere per signora;;;;;;;
"VIA SALUTATI COLUCCIO N. 2 ; (z.d. 7)";VIA ;SALUTATI COLUCCIO;2;6197;7;;39;ACCONCIATORE;;;;;;;
"VIA SANZIO RAFFAELLO num.002a; (z.d. 7)";VIA ;SANZIO RAFFAELLO;;6283;7;;16;Parrucchiere per uomo;;;;;;;
"VIA SANZIO RAFFAELLO N. 16 ; (z.d. 7)";VIA ;SANZIO RAFFAELLO;16;6283;7;;32;Parrucchiere per signora;;;;;;;
"VIA SANZIO RAFFAELLO N. 26 ; (z.d. 7)";VIA ;SANZIO RAFFAELLO;26;6283;7;;;Parrucchiere per signora;;;;;;;
"VIA SANZIO RAFFAELLO N. 27 ; (z.d. 7)";VIA ;SANZIO RAFFAELLO;27;6283;7;;22;Parrucchiere per uomo;;;;;;;
VIA SANZIO RAFFAELLO N. 39 (z.d. 7);VIA ;SANZIO RAFFAELLO;39;6283;7;;16;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SARDEGNA N. 31 ; (z.d. 7)";VIA ;SARDEGNA;31;6265;7;;31;Parrucchiere per signora;;;;;;;
"VIA SERAO MATILDE N. 7 ; (z.d. 7)";VIA ;SERAO MATILDE;7;6241;7;;32;Parrucchiere per signora;;;;;;;
"LGO SETTIMIO SEVERO N. 6 ; (z.d. 7)";LGO ;SETTIMIO SEVERO;6;6210;7;2;13;Parrucchiere per uomo;;;;;;;
"PZA SICILIA N. 1 ; (z.d. 7)";PZA ;SICILIA;1;6266;7;18;50;"Parrucchiere per uomo;Parrucchiere per signora;Parrucchiere misto";;;;;;;
